SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
261,09.MEMORY.rotate.instruction.desktop,1 FELADAT,09 MEMORY,-,rotate,instrukció,asztali,"Ugyanaz, négy kockával — de a sorozat után elsötétül a kép, és a kockatömb közben ELFORDULHAT. A fordulást nem látod. Amikor visszatér a kép, az ÚJ helyzetben kattints végig ugyanazon a sorozaton. Néha nem fordul el semmi.",,,packages/client/src/modules/
262,09.MEMORY.rotate.instruction.mobile,1 FELADAT,09 MEMORY,-,rotate,instrukció,mobil,"Ugyanaz, négy kockával — de a sorozat után elsötétül a kép, és a kockatömb közben ELFORDULHAT. A fordulást nem látod. Amikor visszatér a kép, az ÚJ helyzetben koppints végig ugyanazon a sorozaton. Néha nem fordul el semmi.",,,packages/client/src/modules/
263,09.MEMORY.rotate.hint.vr,1 FELADAT,09 MEMORY,-,rotate,IRÁNYÍTÁS sor,VR,"Sugár a kockákra + RAVASZ, abban a sorrendben, ahogy felvillantak.",,,packages/client/src/modules/
264,09.MEMORY.rotate.hint.desktop,1 FELADAT,09 MEMORY,-,rotate,IRÁNYÍTÁS sor,asztali,"Kattints a kockákra abban a sorrendben, ahogy felvillantak.",,,packages/client/src/modules/
265,09.MEMORY.rotate.hint.mobile,1 FELADAT,09 MEMORY,-,rotate,IRÁNYÍTÁS sor,mobil,"Koppints a kockákra abban a sorrendben, ahogy felvillantak.",,,packages/client/src/modules/
266,09.MEMORY.bind.cim,1 FELADAT,09 MEMORY,-,bind,blokk címe,mind,MI — HOL,,,packages/client/src/modules/
267,09.MEMORY.bind.instruction.vr,1 FELADAT,09 MEMORY,-,bind,instrukció,VR,"Hat különböző alakzat jelenik meg hat helyen. Jegyezd meg, melyik hol volt. Aztán eltűnnek, és egyet közelről megmutatok: mutass a sugárral arra a helyre, ahol AZ AZ alakzat volt, és húzd meg a ravaszt.",,,packages/client/src/modules/
268,09.MEMORY.bind.instruction.desktop,1 FELADAT,09 MEMORY,-,bind,instrukció,asztali,"Hat különböző alakzat jelenik meg hat helyen. Jegyezd meg, melyik hol volt. Aztán eltűnnek, és egyet közelről megmutatok: kattints arra a helyre, ahol AZ AZ alakzat volt.",,,packages/client/src/modules/
269,09.MEMORY.bind.instruction.mobile,1 FELADAT,09 MEMORY,-,bind,instrukció,mobil,"Hat különböző alakzat jelenik meg hat helyen. Jegyezd meg, melyik hol volt. Aztán eltűnnek, és egyet közelről megmutatok: koppints arra a helyre, ahol AZ AZ alakzat volt.",,,packages/client/src/modules/
270,09.MEMORY.bind.hint.vr,1 FELADAT,09 MEMORY,-,bind,IRÁNYÍTÁS sor,VR,"Sugár a helyre + RAVASZ, ahol a megmutatott alakzat volt.",,,packages/client/src/modules/
271,09.MEMORY.bind.hint.desktop,1 FELADAT,09 MEMORY,-,bind,IRÁNYÍTÁS sor,asztali,"Kattints a helyre, ahol a megmutatott alakzat volt.",,,packages/client/src/modules/
272,09.MEMORY.bind.hint.mobile,1 FELADAT,09 MEMORY,-,bind,IRÁNYÍTÁS sor,mobil,"Koppints a helyre, ahol a megmutatott alakzat volt.",,,packages/client/src/modules/
273,09.MEMORY.nback.cim,1 FELADAT,09 MEMORY,-,nback,blokk címe,mind,FOLYAMATOS,,,packages/client/src/modules/
274,09.MEMORY.nback.instruction.vr,1 FELADAT,09 MEMORY,-,nback,instrukció,VR,"Egy gömb ugrál a helyek között. Húzd meg a ravaszt, valahányszor UGYANODA kerül, ahol KÉT lépéssel korábban volt — nem az előző helyre, a kettővel korábbira. Ha nem egyezik, ne csinálj semmit. Ehhez folyamatosan fejben kell tartanod az utolsó két helyet.",,,packages/client/src/modules/
275,09.MEMORY.nback.instruction.desktop,1 FELADAT,09 MEMORY,-,nback,instrukció,asztali,"Egy gömb ugrál a helyek között. Nyomd meg a SZÓKÖZT, valahányszor UGYANODA kerül, ahol KÉT lépéssel korábban volt — nem az előző helyre, a kettővel korábbira. Ha nem egyezik, ne csinálj semmit. Ehhez folyamatosan fejben kell tartanod az utolsó két helyet.",,,packages/client/src/modules/
276,09.MEMORY.nback.instruction.mobile,1 FELADAT,09 MEMORY,-,nback,instrukció,mobil,"Egy gömb ugrál a helyek között. Nyomd meg a képernyő alján az UGYANOTT gombot, valahányszor UGYANODA kerül, ahol KÉT lépéssel korábban volt — nem az előző helyre, a kettővel korábbira. Ha nem egyezik, ne csinálj semmit. Ehhez folyamatosan fejben kell tartanod az utolsó két helyet.",,,packages/client/src/modules/
277,09.MEMORY.nback.hint.vr,1 FELADAT,09 MEMORY,-,nback,IRÁNYÍTÁS sor,VR,"RAVASZ, ha a gömb ugyanott van, mint két lépéssel korábban.",,,packages/client/src/modules/
278,09.MEMORY.nback.hint.desktop,1 FELADAT,09 MEMORY,-,nback,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ, ha a gömb ugyanott van, mint két lépéssel korábban.",,,packages/client/src/modules/
279,09.MEMORY.nback.hint.mobile,1 FELADAT,09 MEMORY,-,nback,IRÁNYÍTÁS sor,mobil,"UGYANOTT gomb, ha a gömb ugyanott van, mint két lépéssel korábban.",,,packages/client/src/modules/
280,09.MEMORY.interfere.cim,1 FELADAT,09 MEMORY,-,interfere,blokk címe,mind,ZAVARÁS UTÁN,,,packages/client/src/modules/
281,09.MEMORY.interfere.instruction.vr,1 FELADAT,09 MEMORY,-,interfere,instrukció,VR,"Négy kockás sorozat, utána nyolc másodperc várakozás. A várakozás alatt néha egy mozgó gömb jelenik meg: tartsd rajta a kontroller sugarát, amíg el nem tűnik. Csak utána jön a felidézés — a sorozatnak a zavarás alatt is meg kell maradnia a fejedben.",,,packages/client/src/modules/
282,09.MEMORY.interfere.instruction.desktop,1 FELADAT,09 MEMORY,-,interfere,instrukció,asztali,"Négy kockás sorozat, utána nyolc másodperc várakozás. A várakozás alatt néha egy mozgó gömb jelenik meg: kövesd az egérkurzorral, amíg el nem tűnik. Csak utána jön a felidézés — a sorozatnak a zavarás alatt is meg kell maradnia a fejedben.",,,packages/client/src/modules/
283,09.MEMORY.interfere.instruction.mobile,1 FELADAT,09 MEMORY,-,interfere,instrukció,mobil,"Négy kockás sorozat, utána nyolc másodperc várakozás. A várakozás alatt néha egy mozgó gömb jelenik meg: tartsd rajta az ujjad, amíg el nem tűnik. Csak utána jön a felidézés — a sorozatnak a zavarás alatt is meg kell maradnia a fejedben.",,,packages/client/src/modules/
284,09.MEMORY.interfere.hint.vr,1 FELADAT,09 MEMORY,-,interfere,IRÁNYÍTÁS sor,VR,"Sugár a kockákra + RAVASZ, sorrendben · a mozgó gömbön tartsd a sugarat.",,,packages/client/src/modules/
285,09.MEMORY.interfere.hint.desktop,1 FELADAT,09 MEMORY,-,interfere,IRÁNYÍTÁS sor,asztali,Kattints a kockákra sorrendben · a mozgó gömböt kövesd az egérrel.,,,packages/client/src/modules/
286,09.MEMORY.interfere.hint.mobile,1 FELADAT,09 MEMORY,-,interfere,IRÁNYÍTÁS sor,mobil,Koppints a kockákra sorrendben · a mozgó gömbön tartsd az ujjad.,,,packages/client/src/modules/
287,10.COMMAND-A.roundA.cim,1 FELADAT,10 COMMAND,A,roundA,blokk címe,mind,1. KÖR — VEZETŐ NÉLKÜL,,,packages/client/src/modules/
288,10.COMMAND-A.roundA.instruction.vr,1 FELADAT,10 COMMAND,A,roundA,instrukció,VR,"Egy közös tábla körül álltok. A táblán látható adatok egy része hibás, és a javításokat a csapat tagjai külön-külön tudják — beszéljétek meg. Rendeljetek minden egységet egy feladathoz: mutass az egységre a sugárral, húzd meg a ravaszt, majd ugyanígy a feladat gyűrűjére. A markolatgombbal jelölhetsz a táblán. Nincs kijelölt vezető. A kiértékelés akkor indul, ha mindenki készre jelentkezett.",,,packages/client/src/modules/
289,10.COMMAND-A.roundA.instruction.desktop,1 FELADAT,10 COMMAND,A,roundA,instrukció,asztali,"Egy közös tábla körül ültök. A táblán látható adatok egy része hibás, és a javításokat a csapat tagjai külön-külön tudják — beszéljétek meg. Rendeljetek minden egységet egy feladathoz: kattints az egységre, majd a feladat gyűrűjére. Jobb kattintással jelölhetsz a táblán. Nincs kijelölt vezető. A kiértékelés akkor indul, ha mindenki készre jelentkezett.",,,packages/client/src/modules/
290,10.COMMAND-A.roundA.instruction.mobile,1 FELADAT,10 COMMAND,A,roundA,instrukció,mobil,"Egy közös tábla körül ültök. A táblán látható adatok egy része hibás, és a javításokat a csapat tagjai külön-külön tudják — beszéljétek meg. Rendeljetek minden egységet egy feladathoz: koppints az egységre, majd a feladat gyűrűjére. A JELÖLÉS gombbal jelölhetsz a táblán. Nincs kijelölt vezető. A kiértékelés akkor indul, ha mindenki készre jelentkezett.",,,packages/client/src/modules/
291,10.COMMAND-A.roundA.hint.vr,1 FELADAT,10 COMMAND,A,roundA,IRÁNYÍTÁS sor,VR,"Sugár az egységre + RAVASZ, majd a feladat gyűrűjére + RAVASZ · MARKOLATGOMB: jelölés a táblán",,,packages/client/src/modules/
292,10.COMMAND-A.roundA.hint.desktop,1 FELADAT,10 COMMAND,A,roundA,IRÁNYÍTÁS sor,asztali,"Kattints az egységre, majd a feladat gyűrűjére · jobb kattintás: jelölés a táblán",,,packages/client/src/modules/
293,10.COMMAND-A.roundA.hint.mobile,1 FELADAT,10 COMMAND,A,roundA,IRÁNYÍTÁS sor,mobil,"Koppints az egységre, majd a feladat gyűrűjére · JELÖLÉS gomb: jelölés a táblán",,,packages/client/src/modules/
294,10.COMMAND-A.roundB.cim,1 FELADAT,10 COMMAND,A,roundB,blokk címe,mind,2. KÖR — KIJELÖLT PARANCSNOK,,,packages/client/src/modules/
295,10.COMMAND-A.roundB.instruction,1 FELADAT,10 COMMAND,A,roundB,instrukció,mind,"Ebben a körben egy kijelölt parancsnok dönt. A többiek javaslatot tehetnek és információt oszthatnak meg, de a tervet és a lezárást a parancsnok kezeli. A kör közben új információ érkezik — figyeljétek. A kezelés ugyanaz, mint az előbb.",,,packages/client/src/modules/
296,10.COMMAND-A.roundB.hint.vr,1 FELADAT,10 COMMAND,A,roundB,IRÁNYÍTÁS sor,VR,"Sugár az egységre + RAVASZ, majd a feladat gyűrűjére + RAVASZ · MARKOLATGOMB: jelölés a táblán",,,packages/client/src/modules/
297,10.COMMAND-A.roundB.hint.desktop,1 FELADAT,10 COMMAND,A,roundB,IRÁNYÍTÁS sor,asztali,"Kattints az egységre, majd a feladat gyűrűjére · jobb kattintás: jelölés a táblán",,,packages/client/src/modules/
298,10.COMMAND-A.roundB.hint.mobile,1 FELADAT,10 COMMAND,A,roundB,IRÁNYÍTÁS sor,mobil,"Koppints az egységre, majd a feladat gyűrűjére · JELÖLÉS gomb: jelölés a táblán",,,packages/client/src/modules/
299,10.COMMAND-B.roundA.cim,1 FELADAT,10 COMMAND,B,roundA,blokk címe,mind,1. KÖR — VEZETŐ NÉLKÜL,,,packages/client/src/modules/
300,10.COMMAND-B.roundA.instruction.vr,1 FELADAT,10 COMMAND,B,roundA,instrukció,VR,"Egy térbeli szerkezet lebeg köztetek, színes blokkokból. A blokkok TAKARJÁK EGYMÁST, ezért mindenki mást lát a saját helyéről — és senki nem látja az összeset. Fordulj, nézd meg, amit onnan látsz, és beszéljétek meg, hány blokk van minden színből. A számokat a táblán állítjátok be. Vigyázzatok: amit ketten láttok, azt csak egyszer szabad számolni.",,,packages/client/src/modules/
301,10.COMMAND-B.roundA.instruction.desktop,1 FELADAT,10 COMMAND,B,roundA,instrukció,asztali,"Egy térbeli szerkezet lebeg köztetek, színes blokkokból. A blokkok TAKARJÁK EGYMÁST, ezért mindenki mást lát a saját helyéről — és senki nem látja az összeset. A te nézőpontod rögzített: nézd meg, amit onnan látsz, és beszéljétek meg, hány blokk van minden színből. A számokat a táblán állítjátok be, kattintással. Vigyázzatok: amit ketten láttok, azt csak egyszer szabad számolni.",,,packages/client/src/modules/
302,10.COMMAND-B.roundA.hint.vr,1 FELADAT,10 COMMAND,B,roundA,IRÁNYÍTÁS sor,VR,"Fordulj, és nézd meg a szerkezetet, amerre csak látod · a számokat a táblán állítod, sugár + RAVASZ",,,packages/client/src/modules/
303,10.COMMAND-B.roundA.hint.desktop,1 FELADAT,10 COMMAND,B,roundA,IRÁNYÍTÁS sor,asztali,"A nézőpontod rögzített — ez a lényeg · a számokat a táblán állítod, kattintással",,,packages/client/src/modules/
304,10.COMMAND-B.roundB.cim,1 FELADAT,10 COMMAND,B,roundB,blokk címe,mind,2. KÖR — KIJELÖLT PARANCSNOK,,,packages/client/src/modules/
305,10.COMMAND-B.roundB.instruction,1 FELADAT,10 COMMAND,B,roundB,instrukció,mind,"Új szerkezet, és most kijelölt parancsnok vezeti a leltárt: a többiek jelentik, amit látnak, ő állítja be a számokat. A nézőpontok is változtak — amit az előbb láttál, most lehet, hogy takarásban van.",,,packages/client/src/modules/
306,10.COMMAND-B.roundB.hint.vr,1 FELADAT,10 COMMAND,B,roundB,IRÁNYÍTÁS sor,VR,"Fordulj, és nézd meg a szerkezetet, amerre csak látod · a számokat a táblán állítod, sugár + RAVASZ",,,packages/client/src/modules/
307,10.COMMAND-B.roundB.hint.desktop,1 FELADAT,10 COMMAND,B,roundB,IRÁNYÍTÁS sor,asztali,"A nézőpontod rögzített — ez a lényeg · a számokat a táblán állítod, kattintással",,,packages/client/src/modules/
308,11.ANTICIPATE-A.visible.cim,1 FELADAT,11 ANTICIPATE,A,visible,blokk címe,mind,LÁTHATÓ PÁLYA,,,packages/client/src/modules/
309,11.ANTICIPATE-A.visible.instruction.vr,1 FELADAT,11 ANTICIPATE,A,visible,instrukció,VR,"Egy gömb indul el egy sínen, egy fehér cél felé. Húzd meg a ravaszt PONTOSAN abban a pillanatban, amikor a gömb elérné a célt. Ez nem gyorsasági feladat: nem gyorsnak kell lenned, hanem pontosnak, ezért nyugodtan indulhat előbb a mozdulatod.",,,packages/client/src/modules/
310,11.ANTICIPATE-A.visible.instruction.desktop,1 FELADAT,11 ANTICIPATE,A,visible,instrukció,asztali,"Egy gömb indul el egy sínen, egy fehér cél felé. Nyomd meg a SZÓKÖZT (vagy kattints) PONTOSAN abban a pillanatban, amikor a gömb elérné a célt. Ez nem gyorsasági feladat: nem gyorsnak kell lenned, hanem pontosnak, ezért nyugodtan indulhat előbb a mozdulatod.",,,packages/client/src/modules/
311,11.ANTICIPATE-A.visible.instruction.mobile,1 FELADAT,11 ANTICIPATE,A,visible,instrukció,mobil,"Egy gömb indul el egy sínen, egy fehér cél felé. Nyomd meg a képernyő alján a MOST gombot PONTOSAN abban a pillanatban, amikor a gömb elérné a célt. Ez nem gyorsasági feladat: nem gyorsnak kell lenned, hanem pontosnak.",,,packages/client/src/modules/
312,11.ANTICIPATE-A.visible.hint.vr,1 FELADAT,11 ANTICIPATE,A,visible,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
313,11.ANTICIPATE-A.visible.hint.desktop,1 FELADAT,11 ANTICIPATE,A,visible,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
314,11.ANTICIPATE-A.visible.hint.mobile,1 FELADAT,11 ANTICIPATE,A,visible,IRÁNYÍTÁS sor,mobil,"MOST gomb pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
315,11.ANTICIPATE-A.short.cim,1 FELADAT,11 ANTICIPATE,A,short,blokk címe,mind,RÖVID TAKARÁS,,,packages/client/src/modules/
316,11.ANTICIPATE-A.short.instruction,1 FELADAT,11 ANTICIPATE,A,short,instrukció,mind,"Ugyanaz a feladat, de a gömb az út utolsó harmadában ELTŰNIK. Neked kell fejben továbbvinned, és ugyanúgy jelezned, amikor odaérne a célhoz.",,,packages/client/src/modules/
317,11.ANTICIPATE-A.short.hint.vr,1 FELADAT,11 ANTICIPATE,A,short,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
318,11.ANTICIPATE-A.short.hint.desktop,1 FELADAT,11 ANTICIPATE,A,short,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
319,11.ANTICIPATE-A.short.hint.mobile,1 FELADAT,11 ANTICIPATE,A,short,IRÁNYÍTÁS sor,mobil,"MOST gomb pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
320,11.ANTICIPATE-A.long.cim,1 FELADAT,11 ANTICIPATE,A,long,blokk címe,mind,HOSSZÚ TAKARÁS,,,packages/client/src/modules/
321,11.ANTICIPATE-A.long.instruction,1 FELADAT,11 ANTICIPATE,A,long,instrukció,mind,Most a gömb már az út közepe előtt eltűnik: az út utolsó 60%-át vakon kell megbecsülnöd. Ez nehéz — az ingadozás természetes.,,,packages/client/src/modules/
322,11.ANTICIPATE-A.long.hint.vr,1 FELADAT,11 ANTICIPATE,A,long,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
323,11.ANTICIPATE-A.long.hint.desktop,1 FELADAT,11 ANTICIPATE,A,long,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
324,11.ANTICIPATE-A.long.hint.mobile,1 FELADAT,11 ANTICIPATE,A,long,IRÁNYÍTÁS sor,mobil,"MOST gomb pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
325,11.ANTICIPATE-A.speed.cim,1 FELADAT,11 ANTICIPATE,A,speed,blokk címe,mind,SEBESSÉG,,,packages/client/src/modules/
326,11.ANTICIPATE-A.speed.instruction,1 FELADAT,11 ANTICIPATE,A,speed,instrukció,mind,"A gömb hol gyorsan, hol lassan indul. Figyeld meg a sebességét, mielőtt eltűnik, és ehhez igazítsd a becslést — ugyanaz az időzítés nem lesz jó minden sebességnél.",,,packages/client/src/modules/
327,11.ANTICIPATE-A.speed.hint.vr,1 FELADAT,11 ANTICIPATE,A,speed,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
328,11.ANTICIPATE-A.speed.hint.desktop,1 FELADAT,11 ANTICIPATE,A,speed,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
329,11.ANTICIPATE-A.speed.hint.mobile,1 FELADAT,11 ANTICIPATE,A,speed,IRÁNYÍTÁS sor,mobil,"MOST gomb pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
330,11.ANTICIPATE-A.change.cim,1 FELADAT,11 ANTICIPATE,A,change,blokk címe,mind,VÁLTOZÓ SEBESSÉG,,,packages/client/src/modules/
331,11.ANTICIPATE-A.change.instruction,1 FELADAT,11 ANTICIPATE,A,change,instrukció,mind,"Az utolsó rész. Itt a gömb a takarás alatt meg is változtathatja a sebességét — gyorsulhat vagy lassulhat, és ezt nem látod. Időzíts úgy, ahogy a legjobbnak érzed.",,,packages/client/src/modules/
332,11.ANTICIPATE-A.change.hint.vr,1 FELADAT,11 ANTICIPATE,A,change,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
333,11.ANTICIPATE-A.change.hint.desktop,1 FELADAT,11 ANTICIPATE,A,change,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
334,11.ANTICIPATE-A.change.hint.mobile,1 FELADAT,11 ANTICIPATE,A,change,IRÁNYÍTÁS sor,mobil,"MOST gomb pontosan akkor, amikor a gömb elérné a fehér célt. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
335,11.ANTICIPATE-B.approach.cim,1 FELADAT,11 ANTICIPATE,B,approach,blokk címe,mind,KÖZELEDÉS,,,packages/client/src/modules/
336,11.ANTICIPATE-B.approach.instruction.vr,1 FELADAT,11 ANTICIPATE,B,approach,instrukció,VR,"Egy gömb indul feléd a távolból — nem oldalra mozog, hanem RÁD jön. Húzd meg a ravaszt pontosan abban a pillanatban, amikor elérné a fejedet. Azt, hogy mikor ér ide, a tágulásából tudod megítélni. Nem gyorsnak kell lenned, hanem pontosnak.",,,packages/client/src/modules/
337,11.ANTICIPATE-B.approach.instruction.desktop,1 FELADAT,11 ANTICIPATE,B,approach,instrukció,asztali,"Egy gömb indul feléd a távolból — nem oldalra mozog, hanem RÁD jön. Nyomd meg a SZÓKÖZT (vagy kattints) pontosan abban a pillanatban, amikor elérne. Azt, hogy mikor ér ide, a tágulásából tudod megítélni. Nem gyorsnak kell lenned, hanem pontosnak.",,,packages/client/src/modules/
338,11.ANTICIPATE-B.approach.hint.vr,1 FELADAT,11 ANTICIPATE,B,approach,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fejedet. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
339,11.ANTICIPATE-B.approach.hint.desktop,1 FELADAT,11 ANTICIPATE,B,approach,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérne. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
340,11.ANTICIPATE-B.occluded.cim,1 FELADAT,11 ANTICIPATE,B,occluded,blokk címe,mind,TAKART KÖZELEDÉS,,,packages/client/src/modules/
341,11.ANTICIPATE-B.occluded.instruction,1 FELADAT,11 ANTICIPATE,B,occluded,instrukció,mind,"Ugyanaz, de a gömb az út utolsó szakaszán eltűnik. Neked kell fejben továbbvinned, és ugyanúgy jelezned, amikor ideérne. Két különböző takarási hossz lesz.",,,packages/client/src/modules/
342,11.ANTICIPATE-B.occluded.hint.vr,1 FELADAT,11 ANTICIPATE,B,occluded,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fejedet. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
343,11.ANTICIPATE-B.occluded.hint.desktop,1 FELADAT,11 ANTICIPATE,B,occluded,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérne. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
344,11.ANTICIPATE-B.size.cim,1 FELADAT,11 ANTICIPATE,B,size,blokk címe,mind,MÉRET,,,packages/client/src/modules/
345,11.ANTICIPATE-B.size.instruction,1 FELADAT,11 ANTICIPATE,B,size,instrukció,mind,"Most különböző MÉRETŰ gömbök jönnek. A méret nem árulja el, mikor érkeznek — ugyanúgy kell időzítened mindegyiknél. Vigyázz: a nagyobb könnyen tűnik közelebbinek, mint amilyen.",,,packages/client/src/modules/
346,11.ANTICIPATE-B.size.hint.vr,1 FELADAT,11 ANTICIPATE,B,size,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fejedet. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
347,11.ANTICIPATE-B.size.hint.desktop,1 FELADAT,11 ANTICIPATE,B,size,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérne. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
348,11.ANTICIPATE-B.angle.cim,1 FELADAT,11 ANTICIPATE,B,angle,blokk címe,mind,IRÁNY,,,packages/client/src/modules/
349,11.ANTICIPATE-B.angle.instruction.vr,1 FELADAT,11 ANTICIPATE,B,angle,instrukció,VR,"Az utolsó rész: a gömbök most nem szemből, hanem különböző irányokból érkeznek — hol oldalról, hol felülről. A feladat ugyanaz: húzd meg a ravaszt akkor, amikor a gömb elérné a fejedet.",,,packages/client/src/modules/
350,11.ANTICIPATE-B.angle.instruction.desktop,1 FELADAT,11 ANTICIPATE,B,angle,instrukció,asztali,"Az utolsó rész: a gömbök most nem szemből, hanem különböző irányokból érkeznek — hol oldalról, hol felülről. A feladat ugyanaz: SZÓKÖZ vagy kattintás akkor, amikor a gömb elérne.",,,packages/client/src/modules/
351,11.ANTICIPATE-B.angle.hint.vr,1 FELADAT,11 ANTICIPATE,B,angle,IRÁNYÍTÁS sor,VR,"RAVASZ pontosan akkor, amikor a gömb elérné a fejedet. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
352,11.ANTICIPATE-B.angle.hint.desktop,1 FELADAT,11 ANTICIPATE,B,angle,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás pontosan akkor, amikor a gömb elérne. Nem gyorsnak kell lenned — pontosnak.",,,packages/client/src/modules/
353,12.FIELD.threshold.cim,1 FELADAT,12 FIELD,-,threshold,blokk címe,mind,MEZŐ,,,packages/client/src/modules/
354,12.FIELD.threshold.instruction.vr,1 FELADAT,12 FIELD,-,threshold,instrukció,VR,"Középen egy gyűrű lesz — VÉGIG AZT NÉZD, ne fordítsd el a fejed. A közepén egy pillanatra egy KOCKA vagy egy GÖMB jelenik meg: ezt mondd meg először (kocka → ravasz, gömb → markolatgomb). Ugyanabban a pillanatban oldalt is felvillan valami: utána a tárcsán mutasd meg, merre volt. A lényeg épp az, mennyit veszel észre odanézés nélkül.",,,packages/client/src/modules/
355,12.FIELD.threshold.instruction.desktop,1 FELADAT,12 FIELD,-,threshold,instrukció,asztali,"Középen egy gyűrű lesz — VÉGIG AZT NÉZD, ne vidd el a tekinteted. A közepén egy pillanatra egy KOCKA vagy egy GÖMB jelenik meg: ezt mondd meg először (kocka → SZÓKÖZ vagy bal kattintás, gömb → jobb kattintás). Ugyanabban a pillanatban oldalt is felvillan valami: utána a tárcsán kattints arra az irányra, ahol volt. A lényeg épp az, mennyit veszel észre odanézés nélkül.",,,packages/client/src/modules/
356,12.FIELD.threshold.instruction.mobile,1 FELADAT,12 FIELD,-,threshold,instrukció,mobil,"Középen egy gyűrű lesz — VÉGIG AZT NÉZD, ne vidd el a tekinteted. A közepén egy pillanatra egy KOCKA vagy egy GÖMB jelenik meg: ezt mondd meg először a képernyő alján a KOCKA vagy a GÖMB gombbal. Ugyanabban a pillanatban oldalt is felvillan valami: utána a képernyőn megjelenő körből koppintsd ki, merre volt. A lényeg épp az, mennyit veszel észre odanézés nélkül.",,,packages/client/src/modules/
357,12.FIELD.threshold.hint.vr,1 FELADAT,12 FIELD,-,threshold,IRÁNYÍTÁS sor,VR,KOCKA → RAVASZ · GÖMB → MARKOLATGOMB (grip) · majd a tárcsán az irány,,,packages/client/src/modules/
358,12.FIELD.threshold.hint.desktop,1 FELADAT,12 FIELD,-,threshold,IRÁNYÍTÁS sor,asztali,KOCKA → SZÓKÖZ vagy bal kattintás · GÖMB → jobb kattintás · majd a tárcsán az irány,,,packages/client/src/modules/
359,12.FIELD.threshold.hint.mobile,1 FELADAT,12 FIELD,-,threshold,IRÁNYÍTÁS sor,mobil,KOCKA / GÖMB gomb · majd a körben az irány,,,packages/client/src/modules/
